actual,xgboost_predicted,naive_predicted
4020.0,4424.67,6819.0
4099.0,4573.7725,7509.0
3721.0,3971.2146,7440.0
2986.0,3175.9663,6612.0
2296.0,2448.1033,5876.0
1777.0,1721.8406,5322.0
1474.0,1440.8308,4822.0
1615.0,1547.656,4754.0
1688.0,1617.1061,4611.0
1718.0,1617.1061,4581.0
1680.0,1617.1061,4652.0
1705.0,1617.1061,4516.0
1742.0,1664.9949,4359.0
1703.0,1617.1061,2600.0
1829.0,1743.6047,3850.0
1742.0,1627.5433,3640.0
1663.0,1627.5433,3348.0
1695.0,1666.6951,3263.0
1041.0,1200.6062,3217.0
1716.0,1666.6951,3293.0
1748.0,1663.6305,3219.0
1725.0,1658.9701,3037.0
1632.0,1581.4435,3009.0
1772.0,1684.4042,3259.0
2229.0,2432.4893,4020.0
2486.0,2853.3213,4099.0
2478.0,2845.4617,3721.0
2325.0,2689.9338,2986.0
1944.0,2167.1506,2296.0
1674.0,1661.5648,1777.0
1575.0,1462.186,1474.0
1659.0,1611.7876,1615.0
1755.0,1617.1061,1688.0
1812.0,1709.6134,1718.0
1728.0,1617.1061,1680.0
1765.0,1617.1061,1705.0
1618.0,1552.9745,1742.0
1655.0,1664.9949,1703.0
1780.0,1759.2019,1829.0
1976.0,1859.7327,1742.0
1736.0,1666.6951,1663.0
1689.0,1666.6951,1695.0
1833.0,1782.0842,1041.0
2098.0,1960.2482,1716.0
2283.0,2099.9482,1748.0
2438.0,2216.0374,1725.0
2700.0,2416.1516,1632.0
2246.0,2382.777,1772.0
4100.0,4528.5176,2229.0
4631.0,5030.897,2486.0
4833.0,5340.305,2478.0
4536.0,4877.3193,2325.0
3673.0,3565.2627,1944.0
3181.0,2737.8057,1674.0
2907.0,2412.8813,1575.0
2861.0,2599.0437,1659.0
2910.0,2632.1626,1755.0
3142.0,2808.9895,1812.0
2966.0,2691.1877,1728.0
2778.0,2541.1038,1765.0
2793.0,2541.0725,1618.0
2784.0,2541.1038,1655.0
2875.0,2608.6465,1780.0
2968.0,2700.1345,1976.0
2839.0,2558.5193,1736.0
2644.0,2426.9546,1689.0
2597.0,2397.941,1833.0
2684.0,2434.9424,2098.0
2571.0,2341.9385,2283.0
2451.0,2216.5085,2438.0
2482.0,2240.5115,2700.0
2766.0,2384.8188,2246.0
3033.0,2668.9282,4100.0
3403.0,2828.93,4631.0
