actual,xgboost_predicted,naive_predicted
1515.0,1231.1304,1320.0
1820.0,1444.9159,2000.0
1545.0,1231.1304,1945.0
1105.0,904.25903,1385.0
584.0,516.5686,724.0
109.0,87.35414,142.0
2.0,23.293142,1.0
1.0,23.293142,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
20.0,34.60116,70.0
232.0,199.61299,526.0
704.0,563.93854,1515.0
964.0,783.1278,1820.0
991.0,795.37976,1545.0
795.0,676.37067,1105.0
414.0,359.76376,584.0
84.0,87.35414,109.0
0.0,48.782707,2.0
0.0,48.782707,1.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
90.0,87.35414,20.0
644.0,525.2264,232.0
1570.0,1269.2689,704.0
2040.0,1589.477,964.0
2035.0,1589.477,991.0
1740.0,1361.5214,795.0
858.0,708.8183,414.0
208.0,166.00899,84.0
2.0,23.293142,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
2.0,23.293142,90.0
78.0,76.89592,644.0
252.0,219.59633,1570.0
403.0,336.7903,2040.0
439.0,378.89328,2035.0
346.0,309.23788,1740.0
181.0,131.69054,858.0
27.0,47.438164,208.0
0.0,48.782707,2.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
10.0,24.532917,2.0
166.0,131.69054,78.0
512.0,431.0565,252.0
844.0,681.05707,403.0
995.0,795.37976,439.0
762.0,636.669,346.0
358.0,309.23788,181.0
60.0,62.496475,27.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
18.0,27.330606,10.0
193.0,159.75761,166.0
570.0,488.2643,512.0
786.0,660.2884,844.0
652.0,538.483,995.0
434.0,378.89328,762.0
215.0,171.32518,358.0
34.0,47.959305,60.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
89.0,87.35414,18.0
1009.0,807.11584,193.0
2455.0,1963.0944,570.0
3255.0,2600.7148,786.0
3365.0,2701.4087,652.0
2770.0,2236.5764,434.0
1605.0,1277.7177,215.0
406.0,336.7903,34.0
4.0,23.293142,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
140.0,106.19974,89.0
1092.0,879.70166,1009.0
2550.0,2077.6943,2455.0
3425.0,2783.9087,3255.0
3275.0,2600.7148,3365.0
2570.0,2077.6943,2770.0
1485.0,1194.784,1605.0
427.0,378.89328,406.0
17.0,27.330606,4.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
0.0,48.782707,0.0
33.0,47.959305,140.0
286.0,245.10957,1092.0
