mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__colsample_bytree,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.1635090827941896,0.723516623243965,0.02971200942993164,0.003296787369881109,0.8,0.01,3,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-478376.12793975935,-675853.5262294294,-529599.3226240639,-1295567.0462206828,-1392927.0451512118,-874464.6136330295,390229.4384354189,25,-95501.37096635874,-327196.35262572434,-347507.9574868718,-662380.6829875517,-356826.0957944357,-357882.49197218847,180340.44864010208
3.001782512664795,0.693176242963038,0.026548004150390624,0.002663954036985097,0.8,0.01,3,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-483999.8902324167,-681130.8638509278,-529857.4410740443,-1293893.178560497,-1390815.0521364035,-875939.2851708578,387587.9166184732,27,-96779.92914318321,-328467.4505840608,-348435.31169782026,-663233.807526009,-357473.4544496781,-358877.9906801503,180201.93135737046
3.1244378089904785,0.5919499725837715,0.0305178165435791,0.003949359828210638,0.8,0.01,3,200,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-478379.882217871,-675853.9948949208,-529601.51246564,-1295566.9836847817,-1392928.399737099,-874466.1546000626,390228.5879930475,26,-95502.60618870937,-327197.32191333885,-347508.6123839725,-662381.3015108831,-356826.423754888,-357883.25315035845,180340.2571755224
2.995670509338379,0.42914944901712854,0.025267839431762695,0.0008369525074040031,0.8,0.01,3,200,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-484003.5471182958,-681131.9481830978,-529859.7356323337,-1293891.680045823,-1390816.6073084886,-875940.7036576078,387586.7482613752,28,-96781.19976556556,-328468.2417125037,-348436.0140327656,-663234.3498901709,-357473.89568432857,-358878.7402170669,180201.70941910107
3.104152202606201,0.5921203603488774,0.032140684127807614,0.0037085020851597124,0.8,0.01,3,300,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-273085.5544073331,-348795.39614758285,-260080.1552889895,-895020.6034091905,-826974.3120227597,-520791.2042551711,280252.2566187705,17,-20526.81943621302,-117507.47766535165,-135136.58997293055,-325142.7549519826,-131282.7919282727,-145919.28679095008,98976.81227368498
3.126464080810547,0.5725835666108907,0.032129335403442386,0.0035405052884902952,0.8,0.01,3,300,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-275599.4252935308,-349360.9691251918,-263739.7964933235,-889866.2416214404,-826347.6411367577,-520982.81473404885,277547.7241748696,19,-20896.955330646862,-118131.7159689096,-135508.4248916576,-325549.8619665282,-131538.75688112763,-146325.14300777396,98979.02614544015
3.3374845027923583,0.8217943892996422,0.036682748794555665,0.005809084062460031,0.8,0.01,3,300,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-273089.23051148426,-348795.2260578369,-260083.63820043596,-895031.4760467856,-826976.1376533963,-520795.1416939879,280254.2822880607,18,-20527.577454322593,-117508.06627207051,-135137.007241254,-325108.3966300805,-131283.0704039566,-145912.82360033682,98964.12630870253
3.3378833293914796,0.35953121538852334,0.03440070152282715,0.004142057684987934,0.8,0.01,3,300,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-275603.047915877,-349361.71166784497,-263743.01321901294,-889864.316080909,-826348.9795421683,-520984.2136851625,277546.1781760447,20,-20897.591446970466,-118132.30656182657,-135508.8516742191,-325550.2228676543,-131539.07747351902,-146325.6100048379,98978.94307305127
3.130448246002197,0.46146678581151335,0.03406891822814941,0.0032773979820333006,0.8,0.01,5,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-446230.002595793,-767570.2983322273,-421243.76589904004,-1543723.1150468134,-1219714.135278675,-879696.2634305097,439815.3559546802,29,-88745.59080514546,-274981.9207640483,-303227.5698883487,-627541.5773717411,-293269.30268323905,-317553.1923025045,173811.94509802954
2.922581338882446,0.4485477686300766,0.03321833610534668,0.0038164135630362156,0.8,0.01,5,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-455783.7406598157,-786103.181332014,-425006.28113184165,-1541843.7562599292,-1237770.905394416,-889301.5729556034,438497.41472528083,31,-90963.67140551767,-279090.56234863284,-306029.9991900338,-629801.7940769285,-295206.3650606243,-320218.4784163474,173734.2914397269
