actual,xgboost_predicted,naive_predicted
2939.0,2896.772,6459.0
2733.0,2724.1099,5832.0
2505.0,2510.794,5499.0
2279.0,2318.2585,5509.0
2176.0,2231.111,5495.0
1881.0,2005.1683,5227.0
1712.0,1900.5348,5152.0
1668.0,1839.899,5180.0
1472.0,1718.8353,4821.0
1614.0,1822.9265,4754.0
1688.0,1880.9976,4611.0
1718.0,1900.5348,4581.0
1680.0,1880.9976,4652.0
1705.0,1880.9976,4516.0
1742.0,1910.0322,4359.0
1703.0,1880.9976,2600.0
1829.0,1978.9159,3850.0
1742.0,1910.0322,3640.0
1663.0,1839.899,3348.0
1695.0,1880.9976,3263.0
1041.0,1423.4504,3217.0
1716.0,1900.5348,3293.0
1748.0,1910.0322,3219.0
1725.0,1900.5348,3037.0
1612.0,1822.9265,2939.0
1540.0,1778.5175,2733.0
1525.0,1759.1029,2505.0
1522.0,1759.1029,2279.0
1487.0,1718.8353,2176.0
1530.0,1759.1029,1881.0
1530.0,1759.1029,1712.0
1590.0,1801.3777,1668.0
1575.0,1801.3777,1472.0
1659.0,1839.899,1614.0
1755.0,1910.0322,1688.0
1812.0,1943.1411,1718.0
1728.0,1900.5348,1680.0
1765.0,1910.0322,1705.0
1618.0,1822.9265,1742.0
1655.0,1839.899,1703.0
1780.0,1935.0151,1829.0
1976.0,2060.9102,1742.0
1736.0,1900.5348,1663.0
1689.0,1880.9976,1695.0
1833.0,1978.9159,1041.0
2098.0,2152.3237,1716.0
2283.0,2318.2585,1748.0
2438.0,2431.243,1725.0
2610.0,2565.2534,1612.0
1602.0,1801.3777,1540.0
2530.0,2518.7874,1525.0
2591.0,2565.2534,1522.0
2798.0,2752.8145,1487.0
2796.0,2752.8145,1530.0
2815.0,2752.8145,1530.0
2973.0,2896.772,1590.0
2905.0,2835.8948,1575.0
2861.0,2820.049,1659.0
2910.0,2835.8948,1755.0
3142.0,3057.4417,1812.0
2966.0,2896.772,1728.0
2778.0,2752.8145,1765.0
2793.0,2752.8145,1618.0
2784.0,2752.8145,1655.0
2875.0,2820.049,1780.0
2968.0,2896.772,1976.0
2839.0,2791.3088,1736.0
2644.0,2580.3289,1689.0
2597.0,2565.2534,1833.0
2684.0,2626.388,2098.0
2571.0,2521.5728,2283.0
2451.0,2431.243,2438.0
2480.0,2451.8828,2610.0
2688.0,2626.388,1602.0
2781.0,2752.8145,2530.0
3000.0,2916.5635,2591.0
3229.0,3102.4753,2798.0
3518.0,3329.4575,2796.0
2226.0,2241.4426,2815.0
3169.0,3057.4417,2973.0
3231.0,3102.4753,2905.0
3025.0,2943.404,2861.0
2759.0,2724.1099,2910.0
