actual,xgboost_predicted,naive_predicted
1917.0,1795.291,2723.0
1743.0,1656.1202,2467.0
1545.0,1511.8663,2258.0
1335.0,1364.0562,2274.0
1296.0,1348.5796,2512.0
1123.0,1209.1173,2225.0
998.0,1114.7241,2203.0
1000.0,1114.7241,2346.0
854.0,1009.95526,2333.0
915.0,1056.1919,2425.0
899.0,1047.0857,2523.0
922.0,1057.2852,2510.0
874.0,1019.715,2620.0
938.0,1063.9822,2641.0
916.0,1056.1919,2577.0
826.0,988.2344,1324.0
909.0,1056.1919,2323.0
890.0,1047.0857,2256.0
870.0,1019.715,2100.0
855.0,1009.95526,2096.0
414.0,715.44446,2099.0
883.0,1019.715,2174.0
875.0,1019.715,2106.0
857.0,1019.715,2005.0
810.0,988.2344,1917.0
706.0,901.55743,1743.0
692.0,901.55743,1545.0
708.0,901.55743,1335.0
660.0,867.2566,1296.0
710.0,901.55743,1123.0
702.0,901.55743,998.0
727.0,916.6973,1000.0
646.0,867.2566,854.0
713.0,901.55743,915.0
728.0,916.6973,899.0
723.0,916.6973,922.0
690.0,901.55743,874.0
657.0,867.2566,938.0
545.0,793.32904,916.0
559.0,803.38715,826.0
619.0,850.40393,909.0
652.0,867.2566,890.0
399.0,696.036,870.0
369.0,674.24225,855.0
429.0,715.44446,414.0
575.0,814.95624,883.0
711.0,901.55743,875.0
824.0,988.2344,857.0
970.0,1097.2532,810.0
483.0,755.0362,706.0
987.0,1097.2532,692.0
964.0,1097.2532,708.0
1027.0,1146.0511,660.0
958.0,1097.2532,710.0
994.0,1114.7241,702.0
1174.0,1242.5747,727.0
1217.0,1280.1499,646.0
1167.0,1242.5747,713.0
1150.0,1226.1647,728.0
1420.0,1431.501,723.0
1282.0,1346.7571,690.0
1086.0,1186.7921,657.0
1183.0,1251.9006,545.0
1228.0,1290.2059,559.0
1334.0,1364.0562,619.0
1495.0,1474.5059,652.0
1427.0,1431.501,399.0
1295.0,1348.5796,369.0
1322.0,1364.0562,429.0
1313.0,1364.0562,575.0
1182.0,1251.9006,711.0
1048.0,1159.6508,824.0
1039.0,1151.3615,970.0
1126.0,1212.3308,483.0
1067.0,1173.4227,987.0
1218.0,1280.1499,964.0
1331.0,1364.0562,1027.0
1441.0,1450.7535,958.0
744.0,932.1073,994.0
1272.0,1311.9408,1174.0
1350.0,1377.2938,1217.0
1181.0,1251.9006,1167.0
900.0,1047.0857,1150.0
851.0,1009.95526,1420.0
763.0,960.72107,1282.0
886.0,1047.0857,1086.0
864.0,1019.715,1183.0
830.0,999.6626,1228.0
718.0,916.6973,1334.0
564.0,803.38715,1495.0
497.0,763.7123,1427.0
514.0,772.5982,1295.0
584.0,814.95624,1322.0
591.0,827.44366,1313.0
692.0,901.55743,1182.0
525.0,783.65295,1048.0
403.0,696.036,1039.0
428.0,715.44446,1126.0
448.0,722.7292,1067.0
437.0,722.7292,1218.0
395.0,696.036,1331.0
361.0,670.62494,1441.0
331.0,661.24225,744.0
274.0,615.59625,1272.0
355.0,670.62494,1350.0
419.0,715.44446,1181.0
541.0,793.32904,900.0
303.0,642.59753,851.0
506.0,763.7123,763.0
796.0,967.77045,886.0
1129.0,1212.3308,864.0
1335.0,1364.0562,830.0
1398.0,1418.374,718.0
1448.0,1450.7535,564.0
1627.0,1574.3505,497.0
1670.0,1587.7225,514.0
1908.0,1776.4114,584.0
2238.0,2013.9254,591.0
2568.0,2251.5166,692.0
2913.0,2519.2468,525.0
3182.0,2748.0942,403.0
3460.0,2983.0188,428.0
3547.0,3036.7188,448.0
3630.0,3115.9268,437.0
3664.0,3147.7532,395.0
3651.0,3120.0432,361.0
3808.0,3225.0698,331.0
3812.0,3259.6638,274.0
3877.0,3286.615,355.0
3878.0,3286.615,419.0
3813.0,3259.6638,541.0
4009.0,3390.2466,303.0
4102.0,3424.2366,506.0
4080.0,3424.2366,796.0
4070.0,3419.958,1129.0
4054.0,3419.958,1335.0
2092.0,1906.1226,1398.0
3974.0,3322.2886,1448.0
4006.0,3390.2466,1627.0
4015.0,3390.2466,1670.0
3956.0,3322.2886,1908.0
3998.0,3390.2466,2238.0
3936.0,3322.2886,2568.0
3866.0,3283.466,2913.0
3824.0,3259.6638,3182.0
3746.0,3217.6826,3460.0
3758.0,3217.6826,3547.0
3617.0,3115.9268,3630.0
3696.0,3147.7532,3664.0
3653.0,3120.0432,3651.0
3604.0,3079.8179,3808.0
3409.0,2935.885,3812.0
3233.0,2789.2258,3877.0
3203.0,2748.0942,3878.0
3333.0,2884.255,3813.0
3216.0,2748.0942,4009.0
3179.0,2748.0942,4102.0
3141.0,2684.3274,4080.0
