actual,xgboost_predicted,naive_predicted
1022.0,1593.3939,3736.0
990.0,1568.9723,3364.0
960.0,1539.824,3242.0
944.0,1518.8932,3235.0
880.0,1487.6155,2983.0
758.0,1397.182,3002.0
713.0,1381.609,2950.0
668.0,1341.993,2834.0
618.0,1335.4896,2488.0
699.0,1359.0056,2329.0
789.0,1427.5057,2088.0
796.0,1444.0286,2071.0
806.0,1444.0286,2032.0
767.0,1408.384,1874.0
826.0,1475.3623,1781.0
877.0,1485.0717,1276.0
920.0,1494.6617,1527.0
852.0,1478.3834,1384.0
793.0,1427.5057,1248.0
840.0,1475.3623,1167.0
626.0,1335.4896,1118.0
833.0,1475.3623,1119.0
873.0,1485.0717,1113.0
868.0,1485.0717,1032.0
802.0,1444.0286,1022.0
834.0,1475.3623,990.0
834.0,1475.3623,960.0
814.0,1459.3053,944.0
827.0,1475.3623,880.0
820.0,1459.3053,758.0
828.0,1475.3623,713.0
863.0,1478.3834,668.0
928.0,1518.5651,618.0
946.0,1518.8932,699.0
1027.0,1593.3939,789.0
1089.0,1625.539,796.0
1038.0,1593.3939,806.0
1109.0,1628.2164,767.0
1073.0,1616.1775,826.0
1096.0,1625.539,877.0
1161.0,1655.7305,920.0
1324.0,1774.1545,852.0
1337.0,1793.7584,793.0
1320.0,1774.1545,840.0
1404.0,1857.516,626.0
1523.0,1895.0432,833.0
1572.0,1946.4017,873.0
1614.0,1976.8713,868.0
1640.0,1996.1885,802.0
1119.0,1631.2064,834.0
1543.0,1927.6055,834.0
1627.0,1996.1885,814.0
1772.0,2092.759,827.0
1838.0,2133.3792,820.0
1821.0,2115.1519,828.0
1800.0,2109.9438,863.0
1689.0,2020.7157,928.0
1693.0,2020.7157,946.0
1760.0,2092.759,1027.0
1722.0,2038.7957,1089.0
1684.0,2020.7157,1038.0
1692.0,2020.7157,1109.0
1610.0,1976.8713,1073.0
1556.0,1927.6055,1096.0
1541.0,1917.3009,1161.0
1472.0,1885.9071,1324.0
1412.0,1857.5585,1337.0
1349.0,1805.125,1320.0
1276.0,1746.3431,1404.0
1371.0,1821.1399,1523.0
1389.0,1824.9454,1572.0
1402.0,1857.516,1614.0
1442.0,1862.6156,1640.0
1562.0,1946.4017,1119.0
1714.0,2026.8408,1543.0
1782.0,2097.3064,1627.0
1898.0,2184.9553,1772.0
2078.0,2310.7668,1838.0
1482.0,1888.6646,1821.0
1897.0,2184.9553,1800.0
1881.0,2169.3428,1689.0
1843.0,2133.3792,1693.0
1859.0,2142.3782,1760.0
2038.0,2271.2212,1722.0
1982.0,2247.0283,1684.0
1990.0,2247.0283,1692.0
1893.0,2184.9553,1610.0
1839.0,2133.3792,1556.0
1758.0,2053.6636,1541.0
1738.0,2038.7957,1472.0
1634.0,1996.1885,1412.0
1669.0,2017.2502,1349.0
1751.0,2053.6636,1276.0
1624.0,1976.8713,1371.0
1530.0,1917.3009,1389.0
1316.0,1763.9037,1402.0
1091.0,1625.539,1442.0
889.0,1487.6155,1562.0
848.0,1478.3834,1714.0
812.0,1444.0286,1782.0
757.0,1397.182,1898.0
671.0,1341.993,2078.0
651.0,1339.733,1482.0
696.0,1359.0056,1897.0
711.0,1359.0056,1881.0
810.0,1444.0286,1843.0
934.0,1518.5651,1859.0
712.0,1359.0056,2038.0
1251.0,1741.4126,1982.0
1563.0,1946.4017,1990.0
1941.0,2210.4587,1893.0
2495.0,2617.9836,1839.0
3156.0,3112.4143,1758.0
3835.0,3603.8293,1738.0
4113.0,3805.0977,1634.0
4615.0,4162.494,1669.0
5117.0,4544.8516,1751.0
5790.0,4988.3457,1624.0
6495.0,5484.9585,1530.0
7114.0,5866.0957,1316.0
7340.0,5918.03,1091.0
7536.0,5977.581,889.0
7684.0,6076.566,848.0
7769.0,6076.566,812.0
7846.0,6076.566,757.0
7945.0,6405.8647,671.0
7872.0,6405.8647,651.0
7683.0,6076.566,696.0
7774.0,6076.566,711.0
7599.0,6076.566,810.0
7634.0,6076.566,934.0
7734.0,6076.566,712.0
7725.0,6076.566,1251.0
7705.0,6076.566,1563.0
7477.0,5977.581,1941.0
7316.0,5918.03,2495.0
4707.0,4212.01,3156.0
7024.0,5788.1357,3835.0
7045.0,5788.1357,4113.0
7056.0,5866.0957,4615.0
6741.0,5693.361,5117.0
6129.0,5178.604,5790.0
5853.0,5051.658,6495.0
5604.0,4843.3296,7114.0
5165.0,4571.8213,7340.0
5018.0,4438.786,7536.0
5004.0,4437.7065,7684.0
4951.0,4393.285,7769.0
4956.0,4393.285,7846.0
4939.0,4393.285,7945.0
4907.0,4390.3374,7872.0
4690.0,4212.01,7683.0
4606.0,4130.328,7774.0
4481.0,4050.9414,7599.0
4204.0,3851.9414,7634.0
4078.0,3777.0144,7734.0
3703.0,3524.451,7725.0
3318.0,3223.554,7705.0
