actual,nn_predicted,naive_predicted
4516.0,4955.27,9416.0
4359.0,4795.705,9361.0
2600.0,3510.4937,9364.0
3850.0,4273.501,9106.0
3640.0,4126.093,9118.0
3348.0,3856.4226,8740.0
3263.0,3774.6733,8245.0
3217.0,3682.7017,7797.0
3293.0,3775.7979,7466.0
3219.0,3649.351,7179.0
3037.0,3359.4329,6906.0
3009.0,3668.8176,6514.0
3259.0,4200.1855,6355.0
4020.0,5185.9956,6819.0
4099.0,5501.229,7509.0
3721.0,4835.735,7440.0
2986.0,4200.0845,6612.0
2296.0,3285.7437,5876.0
1777.0,2917.4512,5322.0
1474.0,2711.4714,4822.0
1615.0,2604.621,4754.0
1688.0,2669.1196,4611.0
1718.0,2672.417,4581.0
1680.0,2457.1116,4652.0
1705.0,2422.8887,4516.0
1742.0,2362.54,4359.0
1703.0,2475.4626,2600.0
1829.0,2428.753,3850.0
1742.0,2375.042,3640.0
1663.0,2356.445,3348.0
1695.0,2179.6702,3263.0
1041.0,1823.4636,3217.0
1716.0,2210.6855,3293.0
1748.0,2206.1768,3219.0
1725.0,2243.305,3037.0
1632.0,2318.0938,3009.0
1772.0,2575.2017,3259.0
2229.0,3153.8472,4020.0
2486.0,3493.3074,4099.0
2478.0,3477.3945,3721.0
2325.0,3197.3833,2986.0
1944.0,3092.546,2296.0
1674.0,2444.393,1777.0
1575.0,2581.0933,1474.0
1659.0,2552.0107,1615.0
1755.0,2681.4219,1688.0
1812.0,2711.4268,1718.0
1728.0,2647.4233,1680.0
1765.0,2674.9336,1705.0
1618.0,2490.6626,1742.0
1655.0,2316.2341,1703.0
1780.0,2315.4583,1829.0
1976.0,2515.6204,1742.0
1736.0,2437.2583,1663.0
1689.0,2473.9785,1695.0
1833.0,2485.9937,1041.0
2098.0,2786.1138,1716.0
2283.0,2848.725,1748.0
2438.0,2920.2864,1725.0
2700.0,3091.2314,1632.0
2246.0,3220.937,1772.0
4100.0,5265.3,2229.0
4631.0,5887.103,2486.0
4833.0,5915.8467,2478.0
4536.0,5582.7163,2325.0
3673.0,4160.8345,1944.0
3181.0,3487.513,1674.0
2907.0,3220.1494,1575.0
2861.0,3146.5752,1659.0
2910.0,3244.8198,1755.0
3142.0,3334.1396,1812.0
2966.0,3396.2932,1728.0
2778.0,3291.146,1765.0
2793.0,3219.0142,1618.0
2784.0,3241.7822,1655.0
2875.0,3185.8389,1780.0
2968.0,3402.6382,1976.0
2839.0,3382.749,1736.0
2644.0,3122.3984,1689.0
2597.0,3070.7603,1833.0
2684.0,3054.2185,2098.0
2571.0,3185.5571,2283.0
2451.0,3094.8015,2438.0
2482.0,2966.8823,2700.0
2766.0,3008.0942,2246.0
3033.0,3300.2485,4100.0
3403.0,3659.2273,4631.0
3668.0,3912.891,4833.0
3864.0,3997.7625,4536.0
2407.0,2801.9702,3673.0
3196.0,3245.2012,3181.0
3231.0,3368.141,2907.0
3025.0,3393.7354,2861.0
2759.0,3235.7651,2910.0
2889.0,3395.4766,3142.0
2746.0,3284.9653,2966.0
2876.0,3522.2014,2778.0
2756.0,3325.413,2793.0
2669.0,3178.5667,2784.0
2476.0,2978.5706,2875.0
2302.0,2844.9812,2968.0
2131.0,2737.0579,2839.0
2183.0,2724.4824,2644.0
2335.0,2803.311,2597.0
2215.0,2824.5652,2684.0
2223.0,2828.843,2571.0
1841.0,2592.402,2451.0
1503.0,2302.4768,2482.0
1483.0,2482.043,2766.0
1808.0,2907.829,3033.0
2092.0,3281.6982,3403.0
2147.0,3505.2544,3668.0
1794.0,3130.1887,3864.0
1340.0,2578.594,2407.0
1030.0,2339.9731,3196.0
1066.0,2385.6404,3231.0
1230.0,2510.6128,3025.0
1475.0,2618.358,2759.0
1015.0,2341.4773,2889.0
1756.0,2758.7944,2746.0
2359.0,3209.5156,2876.0
3070.0,3545.4314,2756.0
3830.0,4025.5725,2669.0
4554.0,4740.138,2476.0
5283.0,5294.3853,2302.0
5740.0,5646.517,2131.0
6285.0,6065.7915,2183.0
7025.0,6561.384,2335.0
8028.0,7334.143,2215.0
9064.0,8114.31,2223.0
10026.0,8866.63,1841.0
10540.0,9192.125,1503.0
11189.0,9315.286,1483.0
11801.0,9633.768,1808.0
12186.0,9958.068,2092.0
12162.0,9853.836,2147.0
12029.0,9628.713,1794.0
11894.0,9408.676,1340.0
11529.0,9428.275,1030.0
11651.0,10190.99,1066.0
11477.0,10177.154,1230.0
11447.0,10120.566,1475.0
11742.0,10310.658,1015.0
11827.0,10438.945,1756.0
11785.0,10484.501,2359.0
11547.0,10268.764,3070.0
11370.0,10159.244,3830.0
6799.0,6451.2744,4554.0
10998.0,9674.426,5283.0
11051.0,9664.881,5740.0
11071.0,9643.794,6285.0
10697.0,9263.214,7025.0
10126.0,8785.847,8028.0
9789.0,8499.229,9064.0
9470.0,8298.652,10026.0
9077.0,7999.1724,10540.0
9773.0,9309.431,11189.0
11216.0,11628.008,11801.0
11823.0,12769.098,12186.0
12017.0,12748.025,12162.0
11362.0,12007.586,12029.0
10116.0,9977.45,11894.0
8505.0,7972.696,11529.0
7843.0,7243.152,11651.0
7684.0,7195.9575,11477.0
7536.0,6941.471,11447.0
7293.0,6706.8145,11742.0
6882.0,6386.1904,11827.0
6458.0,6117.9434,11785.0
6150.0,5997.9663,11547.0
5919.0,5648.563,11370.0
5753.0,5318.4165,6799.0
5543.0,5246.6357,10998.0
5260.0,5015.9067,11051.0
5155.0,4997.91,11071.0
4869.0,4676.8384,10697.0
2861.0,3323.6255,10126.0
4386.0,4347.4956,9789.0
4285.0,4392.067,9470.0
4300.0,4348.8735,9077.0
5078.0,5676.9146,9773.0
6356.0,7963.845,11216.0
7162.0,9119.915,11823.0
6959.0,8689.458,12017.0
6241.0,7642.14,11362.0
5026.0,5845.443,10116.0
4040.0,4460.127,8505.0
3441.0,3846.8157,7843.0
3448.0,3768.1414,7684.0
3519.0,3931.0935,7536.0
3488.0,3900.8848,7293.0
3486.0,3882.4146,6882.0
3369.0,3749.8086,6458.0
3139.0,3522.5002,6150.0
3113.0,3574.1777,5919.0
3021.0,3303.6016,5753.0
2832.0,3250.3706,5543.0
2647.0,3129.1123,5260.0
2557.0,3096.3613,5155.0
2506.0,3160.718,4869.0
2542.0,2986.794,2861.0
2552.0,3055.55,4386.0
2728.0,3302.106,4285.0
2973.0,3376.9858,4300.0
3241.0,3594.9883,5078.0
2802.0,3630.6262,6356.0
3726.0,4494.15,7162.0
4103.0,4744.1484,6959.0
3894.0,4455.7627,6241.0
3496.0,3778.191,5026.0
3557.0,3603.6206,4040.0
3761.0,3770.501,3441.0
3709.0,3840.437,3448.0
4034.0,4142.328,3519.0
4178.0,4262.9897,3488.0
4304.0,4359.297,3486.0
4566.0,4590.8594,3369.0
4562.0,4485.0137,3139.0
4827.0,4671.827,3113.0
4742.0,4565.567,3021.0
4698.0,4588.91,2832.0
4623.0,4588.373,2647.0
4815.0,4742.8022,2557.0
4860.0,4804.694,2506.0
4699.0,4700.9673,2542.0
4628.0,4676.14,2552.0
4432.0,4538.87,2728.0
4271.0,4386.2607,2973.0
4383.0,4510.188,3241.0
4796.0,5014.527,2802.0
5159.0,5716.448,3726.0
5016.0,5692.997,4103.0
4658.0,4971.5464,3894.0
4326.0,4546.0835,3496.0
2736.0,3190.5337,3557.0
4379.0,4322.6255,3761.0
4719.0,4781.0435,3709.0
5089.0,4945.7764,4034.0
5685.0,5405.4224,4178.0
6160.0,5779.96,4304.0
7025.0,6461.651,4566.0
7998.0,7150.905,4562.0
8610.0,7614.8164,4827.0
8646.0,7557.9424,4742.0
8662.0,7616.285,4698.0
9241.0,8104.7935,4623.0
9720.0,8476.629,4815.0
10128.0,8787.785,4860.0
10257.0,8921.564,4699.0
10613.0,9206.632,4628.0
11108.0,9654.777,4432.0
11373.0,9892.25,4271.0
11311.0,9503.43,4383.0
11615.0,9695.053,4796.0
11919.0,10061.949,5159.0
11953.0,10092.2705,5016.0
12009.0,10051.752,4658.0
11871.0,9836.333,4326.0
11686.0,9593.623,2736.0
11554.0,9746.936,4379.0
11844.0,10308.656,4719.0
11877.0,10250.926,5089.0
11597.0,10042.048,5685.0
7131.0,6565.806,6160.0
11361.0,9824.37,7025.0
10941.0,9610.25,7998.0
10857.0,9465.67,8610.0
10603.0,9151.509,8646.0
10391.0,9066.936,8662.0
10389.0,9124.977,9241.0
10474.0,9192.242,9720.0
10475.0,9243.516,10128.0
10349.0,9185.443,10257.0
10472.0,9292.967,10613.0
10606.0,9374.256,11108.0
10829.0,9452.723,11373.0
11312.0,9862.383,11311.0
12349.0,10942.498,11615.0
13173.0,12127.337,11919.0
13448.0,12367.952,11953.0
13338.0,12303.941,12009.0
12719.0,11369.946,11871.0
12163.0,10569.541,11686.0
12224.0,10681.027,11554.0
12238.0,10794.671,11844.0
12154.0,10631.209,11877.0
11940.0,10375.104,11597.0
11587.0,10146.484,7131.0
11112.0,9866.941,11361.0
10350.0,9295.565,10941.0
9758.0,8800.051,10857.0
9259.0,8358.107,10603.0
5613.0,5610.724,10391.0
8653.0,8004.7183,10389.0
8420.0,7665.2583,10474.0
7785.0,7193.088,10475.0
7287.0,6925.4253,10349.0
6465.0,6385.2114,10472.0
5752.0,5863.8364,10606.0
5370.0,5732.9126,10829.0
5961.0,6630.566,11312.0
6150.0,7054.462,12349.0
5893.0,6783.373,13173.0
5853.0,6705.2373,13448.0
5707.0,6318.469,13338.0
5114.0,5377.078,12719.0
4364.0,4574.678,12163.0
4251.0,4533.9434,12224.0
4487.0,4749.2886,12238.0
4863.0,5084.1333,12154.0
5493.0,5507.4365,11940.0
6417.0,6189.8022,11587.0
7442.0,7040.5923,11112.0
8500.0,7893.5356,10350.0
9301.0,8450.702,9758.0
9788.0,8798.795,9259.0
9888.0,8851.245,5613.0
9743.0,8811.818,8653.0
9601.0,8717.455,8420.0
9371.0,8529.385,7785.0
9396.0,8582.893,7287.0
5854.0,5794.7783,6465.0
9999.0,9089.027,5752.0
10080.0,9141.8,5370.0
10277.0,9338.626,5961.0
10353.0,9646.003,6150.0
10787.0,10016.137,5893.0
10852.0,9904.283,5853.0
10710.0,9526.24,5707.0
10566.0,9173.125,5114.0
10150.0,8846.785,4364.0
9885.0,8858.021,4251.0
10154.0,9443.532,4487.0
10252.0,9455.953,4863.0
10313.0,9463.634,5493.0
10463.0,9531.386,6417.0
10168.0,9277.504,7442.0
9431.0,8727.599,8500.0
10087.0,9224.71,9301.0
9820.0,8920.671,9788.0
9824.0,8924.377,9888.0
9767.0,8838.811,9743.0
9728.0,8772.738,9601.0
9704.0,8737.643,9371.0
9832.0,8808.091,9396.0
9485.0,8517.322,5854.0
9257.0,8449.939,9999.0
5550.0,5734.1343,10080.0
9096.0,8227.828,10277.0
9318.0,8481.953,10353.0
9895.0,8968.609,10787.0
9979.0,8926.786,10852.0
9790.0,8776.877,10710.0
9313.0,8580.845,10566.0
8525.0,8002.3022,10150.0
8260.0,7873.4785,9885.0
7592.0,7279.7793,10154.0
7471.0,7080.6226,10252.0
6936.0,6665.194,10313.0
7172.0,6886.886,10463.0
7488.0,7081.9204,10168.0
7955.0,7395.8086,9431.0
8516.0,7835.1353,10087.0
8984.0,8201.969,9820.0
8933.0,8212.009,9824.0
8666.0,8032.622,9767.0
9157.0,8402.152,9728.0
9297.0,8417.777,9704.0
9448.0,8442.706,9832.0
10051.0,8856.943,9485.0
10028.0,8828.828,9257.0
9671.0,8493.348,5550.0
10379.0,9936.25,9096.0
11773.0,12457.952,9318.0
12156.0,13969.716,9895.0
11883.0,13980.271,9979.0
10600.0,12475.658,9790.0
8638.0,10008.941,9313.0
6134.0,6422.7266,8525.0
4646.0,4894.9434,8260.0
4237.0,4480.619,7592.0
4035.0,4196.016,7471.0
3880.0,4064.6223,6936.0
3524.0,3752.313,7172.0
2990.0,3356.9807,7488.0
2682.0,3231.5698,7955.0
2688.0,3229.8882,8516.0
2545.0,3111.7268,8984.0
2571.0,3273.7656,8933.0
2913.0,3573.1313,8666.0
3309.0,3863.4768,9157.0
3622.0,4061.62,9297.0
3986.0,4302.227,9448.0
4457.0,4675.895,10051.0
4708.0,4899.7954,10028.0
5110.0,5438.81,9671.0
5956.0,6468.19,10379.0
6846.0,7498.4546,11773.0
7742.0,8299.82,12156.0
8057.0,8255.594,11883.0
7741.0,7582.9653,10600.0
7567.0,7222.849,8638.0
7402.0,6718.213,6134.0
7414.0,6745.149,4646.0
7589.0,7045.0957,4237.0
7645.0,7015.518,4035.0
7807.0,7091.7754,3880.0
7602.0,6928.0884,3524.0
7449.0,6770.286,2990.0
7148.0,6550.893,2682.0
6871.0,6304.9077,2688.0
6358.0,5781.7124,2545.0
6041.0,5537.307,2571.0
5823.0,5363.695,2913.0
5648.0,5197.1064,3309.0
5265.0,4873.743,3622.0
5052.0,4711.9604,3986.0
4769.0,4524.3013,4457.0
4638.0,4441.03,4708.0
4592.0,4572.645,5110.0
4675.0,4695.392,5956.0
5155.0,5308.2554,6846.0
5326.0,5570.404,7742.0
4867.0,5231.866,8057.0
4354.0,4795.1226,7741.0
3579.0,4105.7954,7567.0
2959.0,3564.1045,7402.0
2549.0,3289.498,7414.0
2472.0,3065.2742,7589.0
