actual,nn_predicted,naive_predicted
2939.0,3144.234,6459.0
2733.0,2993.295,5832.0
2505.0,2667.5505,5499.0
2279.0,2501.425,5509.0
2176.0,2423.0103,5495.0
1881.0,2253.9526,5227.0
1712.0,2102.7883,5152.0
1668.0,2094.8447,5180.0
1472.0,1954.9523,4821.0
1614.0,2060.4202,4754.0
1688.0,2117.9255,4611.0
1718.0,2102.6726,4581.0
1680.0,2017.9457,4652.0
1705.0,2036.7938,4516.0
1742.0,1980.8048,4359.0
1703.0,2044.2958,2600.0
1829.0,2129.9595,3850.0
1742.0,2086.9868,3640.0
1663.0,2048.7664,3348.0
1695.0,2015.1316,3263.0
1041.0,1587.0089,3217.0
1716.0,2046.9054,3293.0
1748.0,2072.3625,3219.0
1725.0,2075.5334,3037.0
1612.0,1976.9648,2939.0
1540.0,1927.126,2733.0
1525.0,1962.9039,2505.0
1522.0,1945.0887,2279.0
1487.0,1906.0868,2176.0
1530.0,1920.6277,1881.0
1530.0,1992.3525,1712.0
1590.0,1939.9235,1668.0
1575.0,2007.5828,1472.0
1659.0,2082.9583,1614.0
1755.0,2168.3867,1688.0
1812.0,2225.63,1718.0
1728.0,2166.109,1680.0
1765.0,2205.7024,1705.0
1618.0,2101.2712,1742.0
1655.0,2029.9552,1703.0
1780.0,2086.566,1829.0
1976.0,2257.9631,1742.0
1736.0,2077.9106,1663.0
1689.0,2062.9,1695.0
1833.0,2169.939,1041.0
2098.0,2393.77,1716.0
2283.0,2534.6917,1748.0
2438.0,2676.7996,1725.0
2610.0,2835.5303,1612.0
1602.0,2016.9568,1540.0
2530.0,2787.2595,1525.0
2591.0,2826.3135,1522.0
2798.0,3009.0073,1487.0
2796.0,3012.7498,1530.0
2815.0,2992.9421,1530.0
2973.0,3224.8088,1590.0
2905.0,3166.736,1575.0
2861.0,3166.7756,1659.0
2910.0,3188.7441,1755.0
3142.0,3420.3972,1812.0
2966.0,3313.2148,1728.0
2778.0,3153.479,1765.0
2793.0,3121.7385,1618.0
2784.0,3120.483,1655.0
2875.0,3166.3887,1780.0
2968.0,3221.9922,1976.0
2839.0,3128.6377,1736.0
2644.0,2990.186,1689.0
2597.0,2964.8337,1833.0
2684.0,3031.2021,2098.0
2571.0,2966.0044,2283.0
2451.0,2871.9387,2438.0
2480.0,2890.583,2610.0
2688.0,3043.299,1602.0
2781.0,3133.8367,2530.0
3000.0,3371.705,2591.0
3229.0,3565.6172,2798.0
3518.0,3803.1982,2796.0
2226.0,2659.7932,2815.0
3169.0,3503.625,2973.0
3231.0,3562.5125,2905.0
3025.0,3385.9956,2861.0
2759.0,3161.9246,2910.0
2889.0,3281.1145,3142.0
2746.0,3152.3708,2966.0
2876.0,3305.1335,2778.0
2756.0,3201.7961,2793.0
2669.0,3117.088,2784.0
2476.0,2895.0327,2875.0
2302.0,2720.2568,2968.0
2131.0,2580.0452,2839.0
2183.0,2619.5325,2644.0
2335.0,2739.7253,2597.0
2215.0,2656.7268,2684.0
2223.0,2632.561,2571.0
1841.0,2317.2961,2451.0
1493.0,2012.1227,2480.0
1317.0,1841.5509,2688.0
1296.0,1848.2565,2781.0
1248.0,1821.753,3000.0
1152.0,1749.3442,3229.0
1032.0,1671.0319,3518.0
982.0,1625.5118,2226.0
970.0,1628.1388,3169.0
1066.0,1701.2032,3231.0
1230.0,1830.6927,3025.0
1475.0,2048.0068,2759.0
1015.0,1699.7682,2889.0
1756.0,2237.9595,2746.0
2359.0,2756.789,2876.0
3070.0,3388.0947,2756.0
3830.0,4071.878,2669.0
4554.0,4647.475,2476.0
5283.0,5304.7056,2302.0
5740.0,5716.6577,2131.0
6285.0,6208.032,2183.0
7025.0,6880.6206,2335.0
8028.0,7787.1387,2215.0
9064.0,8679.941,2223.0
10026.0,9481.469,1841.0
10522.0,9896.901,1493.0
10996.0,10290.616,1317.0
11231.0,10462.667,1296.0
11400.0,10618.245,1248.0
11510.0,10717.994,1152.0
11595.0,10788.059,1032.0
11679.0,10863.933,982.0
11495.0,10731.054,970.0
11651.0,10852.504,1066.0
