actual,nn_predicted,naive_predicted
1917.0,1955.1095,2723.0
1743.0,1803.8083,2467.0
1545.0,1650.175,2258.0
1335.0,1451.8097,2274.0
1296.0,1398.253,2512.0
1123.0,1199.3798,2225.0
998.0,1137.4869,2203.0
1000.0,1163.938,2346.0
854.0,1036.6003,2333.0
915.0,1086.902,2425.0
899.0,1069.3883,2523.0
922.0,1081.4095,2510.0
874.0,1049.0033,2620.0
938.0,1113.4904,2641.0
916.0,1085.7013,2577.0
826.0,1007.98315,1324.0
909.0,1092.4517,2323.0
890.0,1073.689,2256.0
870.0,1058.5408,2100.0
855.0,1048.4078,2096.0
414.0,687.897,2099.0
883.0,1082.0347,2174.0
875.0,1071.0571,2106.0
857.0,1060.1035,2005.0
810.0,1038.0974,1917.0
706.0,963.36,1743.0
692.0,926.65393,1545.0
708.0,926.49744,1335.0
660.0,866.2032,1296.0
710.0,944.0722,1123.0
702.0,916.62866,998.0
727.0,950.2781,1000.0
646.0,881.7039,854.0
713.0,938.18134,915.0
728.0,941.1853,899.0
723.0,947.6764,922.0
690.0,914.236,874.0
657.0,889.4514,938.0
545.0,806.07886,916.0
559.0,819.8505,826.0
619.0,864.06274,909.0
652.0,900.00116,890.0
399.0,699.8797,870.0
369.0,687.16235,855.0
429.0,723.3191,414.0
575.0,827.94775,883.0
711.0,940.39264,875.0
824.0,1046.5436,857.0
970.0,1181.7048,810.0
483.0,766.1566,706.0
987.0,1202.4662,692.0
964.0,1172.3206,708.0
1027.0,1242.2826,660.0
958.0,1180.0957,710.0
994.0,1197.2318,702.0
1174.0,1370.1915,727.0
1217.0,1418.1721,646.0
1167.0,1381.389,713.0
1150.0,1351.5586,728.0
1420.0,1595.1669,723.0
1282.0,1424.079,690.0
1086.0,1243.8379,657.0
1183.0,1402.5565,545.0
1228.0,1440.5286,559.0
1334.0,1524.8043,619.0
1495.0,1651.9874,652.0
1427.0,1587.916,399.0
1295.0,1481.9,369.0
1322.0,1525.6803,429.0
1313.0,1530.0981,575.0
1182.0,1350.6686,711.0
1048.0,1212.4423,824.0
1039.0,1163.0199,970.0
1126.0,1279.5862,483.0
1067.0,1224.7402,987.0
1218.0,1368.4152,964.0
1331.0,1462.5294,1027.0
1441.0,1558.8303,958.0
744.0,921.4377,994.0
1272.0,1405.0804,1174.0
1350.0,1476.9763,1217.0
1181.0,1334.9619,1167.0
900.0,1078.4028,1150.0
851.0,1039.497,1420.0
763.0,974.7577,1282.0
886.0,1035.0748,1086.0
864.0,1033.0342,1183.0
830.0,1062.7013,1228.0
718.0,965.3053,1334.0
564.0,832.1117,1495.0
