actual,nn_predicted,naive_predicted
1022.0,1605.372,3736.0
990.0,1605.8622,3364.0
960.0,1577.0446,3242.0
944.0,1506.4547,3235.0
880.0,1449.159,2983.0
758.0,1380.217,3002.0
713.0,1325.1761,2950.0
668.0,1255.9341,2834.0
618.0,1207.0181,2488.0
699.0,1217.7814,2329.0
789.0,1230.393,2088.0
796.0,1210.2836,2071.0
806.0,1240.966,2032.0
767.0,1211.4542,1874.0
826.0,1266.4886,1781.0
877.0,1248.9515,1276.0
920.0,1279.8478,1527.0
852.0,1237.622,1384.0
793.0,1198.0352,1248.0
840.0,1213.8615,1167.0
626.0,1064.2802,1118.0
833.0,1210.7864,1119.0
873.0,1240.9803,1113.0
868.0,1240.174,1032.0
802.0,1231.2422,1022.0
834.0,1258.1051,990.0
834.0,1248.4312,960.0
814.0,1235.2838,944.0
827.0,1235.8009,880.0
820.0,1278.2826,758.0
828.0,1270.9803,713.0
863.0,1275.8442,668.0
928.0,1306.2062,618.0
946.0,1288.7777,699.0
1027.0,1339.574,789.0
1089.0,1402.4523,796.0
1038.0,1348.5764,806.0
1109.0,1401.6075,767.0
1073.0,1371.8973,826.0
1096.0,1410.2032,877.0
1161.0,1458.2137,920.0
1324.0,1610.1967,852.0
1337.0,1618.9755,793.0
1320.0,1600.1963,840.0
1404.0,1661.398,626.0
1523.0,1772.1427,833.0
1572.0,1824.6791,873.0
1614.0,1866.9874,868.0
1640.0,1919.4515,802.0
1119.0,1472.5573,834.0
1543.0,1877.5211,834.0
1627.0,1934.8,814.0
1772.0,2076.433,827.0
1838.0,2118.166,820.0
1821.0,2101.424,828.0
1800.0,2042.9127,863.0
1689.0,1952.6891,928.0
1693.0,1993.4476,946.0
1760.0,2057.0303,1027.0
1722.0,2047.4484,1089.0
1684.0,2065.0796,1038.0
1692.0,2073.9712,1109.0
1610.0,1946.3202,1073.0
1556.0,1913.8192,1096.0
1541.0,1872.7717,1161.0
1472.0,1725.6006,1324.0
1412.0,1676.1405,1337.0
1349.0,1696.9434,1320.0
1276.0,1637.2736,1404.0
1371.0,1719.528,1523.0
1389.0,1775.1475,1572.0
1402.0,1780.434,1614.0
1442.0,1812.782,1640.0
1562.0,1855.4796,1119.0
1714.0,2000.5437,1543.0
1782.0,2082.0159,1627.0
1898.0,2182.9421,1772.0
2078.0,2352.6443,1838.0
1482.0,1881.0944,1821.0
1897.0,2286.0598,1800.0
1881.0,2260.3323,1689.0
1843.0,2203.875,1693.0
1859.0,2220.3574,1760.0
2038.0,2388.999,1722.0
1982.0,2340.5154,1684.0
1990.0,2401.7642,1692.0
1893.0,2305.5708,1610.0
1839.0,2209.284,1556.0
1758.0,2107.681,1541.0
1738.0,2088.061,1472.0
1634.0,1991.7113,1412.0
1669.0,2027.444,1349.0
1751.0,2106.6523,1276.0
1624.0,1969.8707,1371.0
1530.0,1834.3562,1389.0
1316.0,1651.2046,1402.0
1091.0,1469.6072,1442.0
889.0,1233.0958,1562.0
848.0,1204.983,1714.0
812.0,1181.3253,1782.0
757.0,1134.6923,1898.0
671.0,1074.2787,2078.0
651.0,1055.346,1482.0
696.0,1096.0243,1897.0
711.0,1111.3732,1881.0
810.0,1165.9103,1843.0
934.0,1268.0991,1859.0
712.0,1174.6063,2038.0
1251.0,1591.2294,1982.0
1563.0,1877.9984,1990.0
1941.0,2263.4336,1893.0
2495.0,2795.608,1839.0
3156.0,3310.756,1758.0
3835.0,3948.53,1738.0
4113.0,4212.909,1634.0
4615.0,4695.477,1669.0
5117.0,5190.2246,1751.0
5790.0,5842.7197,1624.0
6495.0,6487.5054,1530.0
7114.0,7046.8237,1316.0
7340.0,7265.568,1091.0
7536.0,7443.507,889.0
7684.0,7574.044,848.0
7769.0,7651.903,812.0
7846.0,7711.6177,757.0
7945.0,7795.4453,671.0
7872.0,7732.0957,651.0
7683.0,7611.161,696.0
7774.0,7791.236,711.0
7599.0,7623.0415,810.0
7634.0,7649.974,934.0
7734.0,7669.6436,712.0
7725.0,7658.2217,1251.0
7705.0,7631.3237,1563.0
7477.0,7514.8066,1941.0
7316.0,7370.3228,2495.0
4707.0,4974.791,3156.0
7024.0,7115.5977,3835.0
7045.0,7119.5425,4113.0
7056.0,7118.0825,4615.0
6741.0,6843.8843,5117.0
6129.0,6304.683,5790.0
5853.0,6051.5366,6495.0
5604.0,5833.1187,7114.0
5165.0,5444.5376,7340.0
5018.0,5326.86,7536.0
5004.0,5328.8066,7684.0
4951.0,5270.185,7769.0
4956.0,5288.222,7846.0
4939.0,5259.0293,7945.0
4907.0,5272.578,7872.0
4690.0,5097.162,7683.0
4606.0,4985.047,7774.0
4481.0,4835.537,7599.0
4204.0,4584.6787,7634.0
4078.0,4475.6147,7734.0
3703.0,4125.1006,7725.0
3318.0,3775.1353,7705.0
3009.0,3472.2026,7477.0
2795.0,3265.4312,7316.0
2711.0,3128.6584,4707.0
2633.0,3096.3665,7024.0
2435.0,2909.5027,7045.0
2363.0,2829.8042,7056.0
2140.0,2600.0657,6741.0
1473.0,2007.0858,6129.0
1804.0,2345.6655,5853.0
1618.0,2160.1765,5604.0
1523.0,2094.9,5165.0
1442.0,1963.0873,5018.0
1378.0,1925.36,5004.0
1310.0,1816.3732,4951.0
1295.0,1769.0057,4956.0
1246.0,1721.3495,4939.0
1201.0,1715.0377,4907.0
1248.0,1797.6077,4690.0
1263.0,1828.0265,4606.0
1319.0,1808.9398,4481.0
1423.0,1792.9858,4204.0
1474.0,1797.549,4078.0
1532.0,1848.4424,3703.0
1618.0,1928.3804,3318.0
1670.0,2012.7244,3009.0
1727.0,2072.2734,2795.0
1758.0,2056.765,2711.0
1716.0,2034.9609,2633.0
1577.0,1910.3153,2435.0
1531.0,1854.0709,2363.0
1578.0,1886.5385,2140.0
1690.0,1961.8971,1473.0
1797.0,2064.8855,1804.0
1947.0,2199.2239,1618.0
2093.0,2358.781,1523.0
2192.0,2446.1423,1442.0
1583.0,1878.0397,1378.0
2140.0,2395.802,1310.0
2415.0,2669.7986,1295.0
2508.0,2730.0203,1246.0
2439.0,2702.075,1201.0
2577.0,2848.9763,1248.0
2633.0,2914.341,1263.0
2616.0,2881.0667,1319.0
2654.0,2923.6604,1423.0
2828.0,3090.1765,1474.0
2817.0,3085.1072,1532.0
2938.0,3189.5938,1618.0
2926.0,3170.4993,1670.0
3185.0,3415.198,1727.0
3119.0,3318.5312,1758.0
3132.0,3314.6824,1716.0
3231.0,3388.9333,1577.0
3300.0,3441.454,1531.0
3402.0,3539.8467,1578.0
3217.0,3367.5618,1690.0
3117.0,3274.233,1797.0
2987.0,3142.5159,1947.0
2692.0,2877.5803,2093.0
2664.0,2863.0103,2192.0
2374.0,2602.1272,1583.0
2408.0,2629.679,2140.0
2384.0,2596.5046,2415.0
2536.0,2826.8809,2508.0
2779.0,2963.961,2439.0
2020.0,2264.8147,2577.0
3176.0,3356.679,2633.0
3272.0,3429.29,2616.0
3627.0,3855.4177,2654.0
4001.0,4203.6367,2828.0
4316.0,4501.068,2817.0
5040.0,5187.983,2938.0
5818.0,5976.35,2926.0
5994.0,6150.731,3185.0
5967.0,6054.1797,3119.0
5736.0,5842.6323,3132.0
6071.0,6162.2754,3231.0
6379.0,6446.141,3300.0
6325.0,6386.629,3402.0
6461.0,6493.9365,3217.0
6670.0,6667.2173,3117.0
6950.0,6945.695,2987.0
7184.0,7249.3345,2692.0
7107.0,7190.725,2664.0
7240.0,7307.727,2374.0
7247.0,7315.5483,2408.0
7272.0,7337.3354,2384.0
7412.0,7440.481,2536.0
7351.0,7381.095,2779.0
7457.0,7477.3213,2020.0
7455.0,7492.2695,3176.0
7699.0,7683.079,3272.0
7699.0,7677.054,3627.0
7377.0,7388.972,4001.0
4914.0,5173.733,4316.0
7117.0,7177.2974,5040.0
6686.0,6834.4346,5818.0
6641.0,6822.0044,5994.0
6370.0,6541.0303,5967.0
6141.0,6326.838,5736.0
6172.0,6369.7407,6071.0
6195.0,6382.482,6379.0
6241.0,6436.458,6325.0
6024.0,6227.0283,6461.0
6082.0,6283.4424,6670.0
6232.0,6431.544,6950.0
6427.0,6605.8013,7184.0
6708.0,6845.9517,7107.0
7278.0,7363.095,7240.0
7593.0,7618.0474,7247.0
7736.0,7729.4375,7272.0
7880.0,7874.642,7412.0
7808.0,7817.239,7351.0
7745.0,7753.8564,7457.0
7875.0,7848.374,7455.0
8040.0,7959.361,7699.0
7872.0,7789.7456,7699.0
7641.0,7600.1963,7377.0
7297.0,7286.5156,4914.0
6829.0,6912.045,7117.0
6171.0,6326.7573,6686.0
5579.0,5783.3784,6641.0
5152.0,5360.9526,6370.0
3447.0,3785.1597,6141.0
4627.0,4898.0386,6172.0
4457.0,4721.3867,6195.0
3937.0,4266.0444,6241.0
3497.0,3904.3188,6024.0
3171.0,3623.9412,6082.0
2921.0,3391.0854,6232.0
2817.0,3310.5671,6427.0
2611.0,3136.4402,6708.0
2568.0,3119.4534,7278.0
2469.0,2992.359,7593.0
2691.0,3196.8818,7736.0
2946.0,3444.6372,7880.0
3196.0,3697.8923,7808.0
3018.0,3525.5613,7745.0
3169.0,3665.7063,7875.0
3354.0,3827.3367,8040.0
3625.0,4093.492,7872.0
3979.0,4403.9575,7641.0
4432.0,4812.734,7297.0
5159.0,5505.9907,6829.0
5705.0,6030.6445,6171.0
6088.0,6378.395,5579.0
6378.0,6611.8647,5152.0
6382.0,6579.804,3447.0
6177.0,6418.389,4627.0
6132.0,6365.4727,4457.0
5919.0,6164.766,3937.0
5912.0,6155.5176,3497.0
3998.0,4356.6196,3171.0
6307.0,6522.2046,2921.0
6162.0,6427.494,2817.0
5884.0,6182.4478,2611.0
5612.0,5950.077,2568.0
5678.0,5984.648,2469.0
5929.0,6186.6685,2691.0
6293.0,6504.7085,2946.0
6462.0,6624.4624,3196.0
6428.0,6614.9976,3018.0
6497.0,6681.5835,3169.0
6608.0,6762.83,3354.0
6573.0,6743.4614,3625.0
6536.0,6725.821,3979.0
6622.0,6811.1196,4432.0
6205.0,6453.888,5159.0
5417.0,5744.5146,5705.0
6095.0,6384.053,6088.0
5949.0,6225.2983,6378.0
5895.0,6163.9697,6382.0
5841.0,6107.0527,6177.0
5824.0,6086.6025,6132.0
5689.0,5950.47,5919.0
5753.0,5997.744,5912.0
5433.0,5662.3374,3998.0
5536.0,5799.163,6307.0
3629.0,4045.2844,6162.0
5213.0,5542.5386,5884.0
5140.0,5487.2495,5612.0
5262.0,5573.697,5678.0
5445.0,5742.8364,5929.0
5255.0,5591.2466,6293.0
5188.0,5536.2686,6462.0
4863.0,5227.565,6428.0
4684.0,5049.383,6497.0
4631.0,4944.677,6608.0
4518.0,4827.806,6573.0
4743.0,5042.0767,6536.0
4674.0,4976.311,6622.0
4859.0,5145.222,6205.0
5012.0,5280.6816,5417.0
5475.0,5720.352,6095.0
5831.0,6010.606,5949.0
5715.0,5881.566,5895.0
5566.0,5743.77,5841.0
5891.0,6059.396,5824.0
5992.0,6159.6655,5689.0
6184.0,6341.9785,5753.0
6335.0,6440.5063,5433.0
6127.0,6245.5127,5536.0
5525.0,5674.212,3629.0
4908.0,5119.016,5213.0
4391.0,4639.8403,5140.0
3913.0,4200.5537,5262.0
3662.0,3966.6736,5445.0
3076.0,3441.403,5255.0
2586.0,3012.019,5188.0
2103.0,2597.5928,4863.0
1676.0,2212.7766,4684.0
1417.0,1926.0868,4631.0
1268.0,1788.1652,4518.0
1181.0,1712.4948,4743.0
1132.0,1659.7382,4674.0
1043.0,1582.1388,4859.0
1097.0,1606.8982,5012.0
1247.0,1760.2988,5475.0
1430.0,1931.1432,5831.0
1636.0,2167.105,5715.0
2023.0,2558.569,5566.0
2301.0,2836.568,5891.0
2526.0,3057.2942,5992.0
2841.0,3359.2947,6184.0
3090.0,3599.4373,6335.0
3282.0,3771.6213,6127.0
3464.0,3853.4294,5525.0
3588.0,3979.709,4908.0
3599.0,3990.509,4391.0
3932.0,4250.777,3913.0
4249.0,4469.194,3662.0
4261.0,4559.4536,3076.0
4215.0,4548.1167,2586.0
4454.0,4728.2495,2103.0
4417.0,4693.3003,1676.0
4424.0,4660.81,1417.0
4317.0,4552.439,1268.0
4128.0,4388.436,1181.0
3819.0,4102.57,1132.0
3655.0,3957.258,1043.0
3422.0,3720.5515,1097.0
3217.0,3541.7234,1247.0
3073.0,3388.6206,1430.0
2872.0,3212.237,1636.0
2724.0,3077.6829,2023.0
2580.0,2946.1438,2301.0
2264.0,2651.3528,2526.0
2131.0,2543.0398,2841.0
1920.0,2361.8909,3090.0
